ts,open,high,low,close,volume,timestamp
1760626800000,110529.35,110727.35,108361.69,108549.21,3863.5105,2025-10-16 15:00:00+00:00
1760630400000,108549.21,109254.0,107577.57,109232.43,3658.11859,2025-10-16 16:00:00+00:00
1760634000000,109232.43,109244.91,108227.54,108276.7,1542.50028,2025-10-16 17:00:00+00:00
1760637600000,108276.69,108656.3,107680.0,108656.19,1228.35335,2025-10-16 18:00:00+00:00
1760641200000,108656.19,108751.02,107685.4,108197.66,1826.2967,2025-10-16 19:00:00+00:00
1760644800000,108197.67,108424.11,107427.0,107838.01,941.04286,2025-10-16 20:00:00+00:00
1760648400000,107838.0,108463.31,107592.0,108443.7,490.84182,2025-10-16 21:00:00+00:00
1760652000000,108443.71,108500.0,107783.76,107798.85,451.11345,2025-10-16 22:00:00+00:00
1760655600000,107798.85,108420.73,107736.56,108194.28,371.40842,2025-10-16 23:00:00+00:00
1760659200000,108194.27,108849.19,107934.4,108800.0,657.03622,2025-10-17 00:00:00+00:00
1760662800000,108799.99,109115.08,108506.79,108839.84,663.22366,2025-10-17 01:00:00+00:00
1760666400000,108839.84,109082.8,108390.21,108972.97,559.71151,2025-10-17 02:00:00+00:00
1760670000000,108972.98,109240.0,108910.45,109176.74,537.9217,2025-10-17 03:00:00+00:00
1760673600000,109176.74,109236.01,108786.0,108787.26,487.87266,2025-10-17 04:00:00+00:00
1760677200000,108787.26,108926.06,108299.12,108381.76,800.45747,2025-10-17 05:00:00+00:00
1760680800000,108381.75,108519.49,106639.79,106741.28,2840.49166,2025-10-17 06:00:00+00:00
1760684400000,106741.28,106901.85,105542.09,105633.75,3891.25354,2025-10-17 07:00:00+00:00
1760688000000,105633.75,105716.15,104505.0,104884.38,4632.98336,2025-10-17 08:00:00+00:00
1760691600000,104884.38,105626.67,104520.7,104531.35,2034.60892,2025-10-17 09:00:00+00:00
1760695200000,104530.0,104926.19,103528.23,104751.99,3620.28453,2025-10-17 10:00:00+00:00
1760698800000,104751.99,106651.22,104674.0,105683.72,3620.45641,2025-10-17 11:00:00+00:00
1760702400000,105683.71,106070.14,105227.45,105350.4,1384.38576,2025-10-17 12:00:00+00:00
1760706000000,105350.4,106166.0,104876.19,105835.63,2340.35273,2025-10-17 13:00:00+00:00
1760709600000,105835.62,105989.01,104533.21,105163.42,1894.44771,2025-10-17 14:00:00+00:00
1760713200000,105163.41,106852.14,105087.29,106803.53,2228.15693,2025-10-17 15:00:00+00:00
1760716800000,106803.52,107575.6,106239.75,106372.34,1909.04788,2025-10-17 16:00:00+00:00
1760720400000,106372.34,106729.0,106071.42,106453.27,723.50939,2025-10-17 17:00:00+00:00
1760724000000,106453.26,107089.99,106453.26,106647.11,761.17199,2025-10-17 18:00:00+00:00
1760727600000,106647.11,106889.11,106233.65,106454.72,522.73818,2025-10-17 19:00:00+00:00
1760731200000,106457.24,107177.08,106342.47,107021.37,502.81407,2025-10-17 20:00:00+00:00
1760734800000,107021.38,107440.02,107016.87,107301.4,474.97927,2025-10-17 21:00:00+00:00
1760738400000,107301.41,107415.73,106807.5,107000.1,467.14,2025-10-17 22:00:00+00:00
1760742000000,107000.09,107000.1,106392.08,106431.68,365.62283,2025-10-17 23:00:00+00:00
1760745600000,106431.68,106845.52,106322.2,106845.52,471.69377,2025-10-18 00:00:00+00:00
1760749200000,106845.52,107306.06,106824.0,107149.3,525.1252,2025-10-18 01:00:00+00:00
1760752800000,107149.3,107297.87,106493.23,106597.98,923.59727,2025-10-18 02:00:00+00:00
1760756400000,106597.97,107126.55,106573.6,107070.4,747.88716,2025-10-18 03:00:00+00:00
1760760000000,107070.41,107070.41,106439.38,106478.71,738.59104,2025-10-18 04:00:00+00:00
1760763600000,106478.66,106842.5,106478.66,106812.52,357.02039,2025-10-18 05:00:00+00:00
1760767200000,106812.52,106950.0,106711.95,106839.96,582.06053,2025-10-18 06:00:00+00:00
1760770800000,106839.97,107499.0,106607.2,106665.0,1298.66311,2025-10-18 07:00:00+00:00
1760774400000,106665.01,106966.62,106605.93,106719.2,1204.63747,2025-10-18 08:00:00+00:00
1760778000000,106719.2,106938.0,106629.66,106884.41,371.44202,2025-10-18 09:00:00+00:00
1760781600000,106884.41,107145.81,106788.41,106924.47,365.7402,2025-10-18 10:00:00+00:00
1760785200000,106924.47,107222.0,106770.0,107208.6,394.9085,2025-10-18 11:00:00+00:00
1760788800000,107208.61,107300.0,106965.23,107065.17,265.11201,2025-10-18 12:00:00+00:00
1760792400000,107065.17,107102.14,106810.0,106888.78,270.57628,2025-10-18 13:00:00+00:00
1760796000000,106888.77,107111.11,106739.33,107028.36,552.94765,2025-10-18 14:00:00+00:00
1760799600000,107028.37,107146.18,107028.37,107059.62,53.674,2025-10-18 15:00:00+00:00
