data,preco_real,preco_previsto,retorno_pred
2025-10-17 16:00:00,106372.34375,106484.88748777352,0.0010580169036984444
2025-10-17 17:00:00,106453.2734375,106685.51446034817,0.002181624062359333
2025-10-17 18:00:00,106647.109375,106898.70143116066,0.002359108068048954
2025-10-17 19:00:00,106454.71875,106555.69589687124,0.0009485455229878426
2025-10-17 20:00:00,107021.3671875,107987.44443983797,0.009026956744492054
2025-10-17 21:00:00,107301.3984375,107840.71271346966,0.005026162602007389
2025-10-17 22:00:00,107000.1015625,107007.55480537206,6.965640932321548e-05
2025-10-17 23:00:00,106431.6796875,106357.63508735076,-0.0006957007572054863
2025-10-18 00:00:00,106845.5234375,107590.19419501841,0.006969601847231388
2025-10-18 01:00:00,107149.296875,107334.2595742843,0.001726214773952961
2025-10-18 02:00:00,106597.9765625,106560.84265744372,-0.00034835468977689743
2025-10-18 03:00:00,107070.3984375,107178.89909555379,0.001013358123600483
2025-10-18 04:00:00,106478.7109375,106435.85028971266,-0.0004025278612971306
2025-10-18 05:00:00,106812.5234375,106885.56704772275,0.0006838487461209297
2025-10-18 06:00:00,106839.9609375,107021.85751772614,0.0017025144770741463
2025-10-18 07:00:00,106665.0,106725.76290633995,0.0005696611478924751
2025-10-18 08:00:00,106719.203125,106910.09842270137,0.0017887623980641365
2025-10-18 09:00:00,106884.40625,107061.62428424068,0.001658034510910511
2025-10-18 10:00:00,106924.46875,107088.02494894175,0.0015296423807740211
2025-10-18 11:00:00,107208.6015625,107260.16722071054,0.0004809843376278877
2025-10-18 12:00:00,107065.171875,107171.11221096617,0.000989493913948536
2025-10-18 13:00:00,106888.78125,106958.27178102001,0.0006501199677586555
2025-10-18 14:00:00,107028.359375,107101.35282335039,0.0006820010021328926
2025-10-18 15:00:00,107077.6328125,107132.83443260117,0.0005155289545655251
